258,Uchu Tatsumi
259,Ryota Matsune
260,Kazuo Misakio
261,Zabit Magomedsharipov
262,Sergei Khairtononv
263,Marcin Tybura
264,Matt Mitrione
265,Jairzinho Rozenstruik
266,Mironru Suzuki
267,Yair Rodriguez
268,Rani Yahya
269,Yaroslav Amosov
270,Jack Hermansson
271,Keiichiro Yamamiya
272,Takeya Mizugaki
273,Stefan Struve
274,Oleg Taktarov
275,Thales Leites
276,Calvin Kattar
277,Din Thomas
278,Brad Pickett
279,Paul Daley
280,Muhammed Lawal
281,Marlon Vera
282,Gleison Tibau
283,Joe Warren
284,Dan Hooker
285,Shonie Carter
286,Kiyoshi Tamura
287,Dennis Hallman
288,Tetsuji Kato
289,Anrey Koreshkov
290,Julia Budd
291,Karo Parisyan
292,Ricardo Morais
293,Merab Dvalishvili
294,John Moraga
295,Lliima-Lei Macfarlane
296,Juan Archuleta
297,Jeff Curran
298,Aleksander Rakic
299,Emanuel Newton
300,Rafael Carvalho
301,Adriano Moraes
302,Cole Konrad
303,Kenny Florian
304,Jutaro Nakao
305,Alexis Vila
306,Ryo Chonan
307,Charlie Valencia
308,Ali Bagautinov
309,Marvin Vettori
310,Carlos Newton
311,Matt Hamill
312,Lyman Good
313,Luiz Azeredo
314,Viecente Luque
315,Sanae Kikuta
316,Kair Kara-France
317,Alex Perez
318,Setsu Iguchi
319,Joe Duffy
320,Masatoshi Abe
321,Heath Herring
322,Magomed Ankalaev
323,Gilbert Yvel
324,Tai Tuivasa
325,Mikhail Iliyukhin
326,Mark Hominick
327,Katlyn Chookagian
328,Blagoy Ivanov
329,Belal Muhammad
330,Wait Harris
331,Chris Daukaus
332,Travis Browne
333,Marina Rodriguez
334,Brandon Royval
335,Gregor Gillespie
336,Xiaonan Yan
337,Daneil Straus
338,Yoshiro Maeda
339,Sean Strickland
340,Paul Craig
341,Jamahal Hill
342,Carlos Diego Ferreira
343,Tsuyoshi Kohsaka
344,Chris Lytle
345,Giga Chikadze
346,Joe Stevenson
347,Tom Aspinall
348,David Branch
349,Ali Elias
350,Dan Ige
351,Sergie Pavlovich
352,Shamil Abdurakhimov
353,Jason Black
354,Nikita Krylov
355,Johnny Walker
356,Ben Rothwell
357,Sean Brady
358,Rafael Fiziev
359,Jimmy Crute
360,Augusto Sakai
361,Kevin Lee
362,Ryan Spann
363,Stephen Palling
364,Dustin Jacoby
365,Arman Tsarukyan
366,Hiroyuki Takaya
367,Arnold Allen
368,Bryce Mitchell
369,Yadong Song
370,Marcus Aurelio
371,Matheus Nicolau
372,Hisao Ikeda
373,Rog�rio Bontorin
374,Matt Schnell
375,David Dvorak
376,Sean O'Malley
377,Nassourdine Imavov
378,Kayla Harrison
379,Brad Tavares
380,Andre Muniz
381,Edmen Shabazyan
382,Jose Landi-Jons
383,Geoff Neal
384,Santiago Ponzinibbio
385,Shavkat Rakhmonov
386,Mateusz Gamrot
387,Dustin Ortiz
388,Jingliang Li
389,Sodiq Yusuff
390,Movsar Evloev
391,Ray Borg
392,Shane Burgos
393,Gabriel Gonzaga
394,Ilia Topuria
395,Ricky Sim�n
396,Sumudaerji
397,Amir Albazi
398,Manel Kape
399,Tagir Ulanbekov
400,Thiago Silva
401,Mackenzie Dern
402,Irene Aldana
403,Manny Gamburyan
404,Lauren Murphy
405,Aspen Ladd
406,Michelle Waterson-Gomez
407,Nina Nunes
408,Tecia Torres
409,Amanda Ribas
410,Jussier Formiga
411,Jennifer Maia
412,Dave Strasser
413,Amanda Lemos
414,Taila Santos
415,Manon Fiorot
416,Viviane Araujo
417,Wagnney Fabiano
418,Andrea Lee
419,Ketlen Vieira
420,Joanne Wood
421,Yana Kunitskaya
422,Ryuichi Miki
423,Raquel Pennington
424,Jorge Santiago
425,Sara McMann
426,Virna Jandiroba
427,Angela Hill
428,Jessica Penne
429,Brianna Fortino
430,Cynthia Calvillo
431,Luana Pinheiro
432,Jessica Eye
433,Michael McDonald
434,Casey O'Neill
435,Maycee Barber
436,Megumi Fujii
437,Erin Blanchfield
438,Rodrigo Gracie
439,Darrion Caldwell
440,Lina Lansberg
441,Pannie Kianzad
442,Karol Rosa
443,Julia Avila
444,Darren Elkins
445,Norma Dumont
446,Marloes Coenen
447,Yuka Tsuji
448,Gary Goodridge
449,Keith Jardine
450,Tara LaRosa
451,Gesias Cavalcante
452,Ayaka Hamasaki
453,Ovince St. Preux
454,Rousimar Palhares
455,Jimi Manuwa
456,Jennifer Howe
457,Shinya Murofushi
458,Ikhuisa Minowa
459,Luri Alcantara
460,Joao Roque
461,Linton Vassell
462,Masaaki Sugawara
463,Raynell Cooper
464,Vitaly Minakov
465,Erin Toughill
466,Mitsuhiro Ishida
467,Alex Pereira
468,Sarah Kaufman
469,Marlon Sandro
470,Hisae Watanabe
471,Tyson Griffin
472,Atsushi Takeuchi
473,Junji Ito
474,Satoko Shinashi
475,Joe Doerksen
476,Seo Hee Ham
477,Barb Honchak
478,Daneil Weichel
479,Amanda Buckner
480,Adrian Serrano
481,Manny Tapia
482,Mark Munoz
483,Kenichi Tanaka
484,Maurice Smith
485,Dong Hyun Kim
486,Haruo Ochi
487,Paul Felder
488,Marocs Galvao
489,Jason Reinhardt
490,Rin Nakai
491,Miku Matsumoto
492,Antonio Carvalho
493,Alexis Davis
494,Ryan Bow
495,Jorge Patino
496,Tim Boetsch
497,Mamoru Okochi
498,Willamy Freire
499,Aleksander Emelianenko
500,Junji Ikoma
