26,Israel Adesanya VS Yoel Romero,Israel Adesanya,Yoel Romero,-260,240,3/7/2020 0:00,"Las Vegas, Nevada, USA",USA,Israel Adesanya,Middleweight,MALE,30,42,U-DEC
27,Weili Zhang VS Joanna Jedrzejczyk,Weili Zhang,Joanna Jedrzejczyk,-185,170,3/7/2020 0:00,"Las Vegas, Nevada, USA",USA,Weili Zhang,Women's Strawweight,FEMALE,30,32,S-DEC
28,Joseph Benavidez VS Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,-150,130,2/29/2020 0:00,"Norfolk, Virginia, USA", USA,Deiveson Figueiredo,Flyweight,MALE,35,32,KO/TKO
29,Jon Jones VS Thiago Santos,Jon Jones,Thiago Santos,-670,485,7/6/2019 0:00,"Las Vegas, Nevada, USA", USA,Jon Jones,Light Heavyweight,MALE,31,35,S-DEC
30,Amanda Nunes VS Holly Holm,Amanda Nunes,Holly Holm,-360,300,7/6/2019 0:00,"Las Vegas, Nevada, USA", USA,Amanda Nunes,Women's Bantamweight,FEMALE,31,37,KO/TKO
31,Max Holloway VS Frankie Edgar,Max Holloway,Frankie Edgar,-335,275,7/27/2019 0:00,"Edmonton, Alberta, Canada", Canada,Max Holloway,Featherweight,MALE,27,37,U-DEC
32,Jon Jones VS Dominick Reyes,Jon Jones,Dominick Reyes,-460,365,2/8/2020 0:00,"Houston, Texas, USA", USA,Jon Jones,Light Heavyweight,MALE,32,30,U-DEC
33,Valentina Shevchenko VS Katlyn Chookagian,Valentina Shevchenko,Katlyn Chookagian,-920,610,2/8/2020 0:00,"Houston, Texas, USA", USA,Valentina Shevchenko,Women's Flyweight,FEMALE,31,31,KO/TKO
34,Valentina Shevchenko VS Liz Carmouche,Valentina Shevchenko,Liz Carmouche,-1100,700,8/10/2019 0:00,"Montevideo, Uruguay", Uruguay,Valentina Shevchenko,Women's Flyweight,FEMALE,31,35,U-DEC
35,Daniel Cormier VS Stipe Miocic,Daniel Cormier,Stipe Miocic,-145,125,8/17/2019 0:00,"Anaheim, California, USA", USA,Stipe Miocic,Heavyweight,MALE,40,36,KO/TKO
36,Jessica Andrade VS Zhang Weili,Jessica Andrade,Zhang Weili,-200,170,8/31/2019 0:00,"Shenzhen, Guangdong, China", China,Zhang Weili,Women's Strawweight,FEMALE,27,30,
37,Khabib Nurmagomedov VS Dustin Poirier,Khabib Nurmagomedov,Dustin Poirier,-400,325,9/7/2019 0:00,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Khabib Nurmagomedov,Lightweight,MALE,30,30,SUB
38,Robert Whittaker VS Israel Adesanya,Robert Whittaker,Israel Adesanya,110,-130,10/5/2019 0:00,"Melbourne, Victoria, Australia", Australia,Israel Adesanya,Middleweight,MALE,28,30,KO/TKO
39,Kamaru Usman VS Colby Covington,Kamaru Usman,Colby Covington,-190,165,12/14/2019 0:00,"Las Vegas, Nevada, USA", USA,Kamaru Usman,Welterweight,MALE,32,31,KO/TKO
40,Max Holloway VS Alexander Volkanovski,Max Holloway,Alexander Volkanovski,-200,170,12/14/2019 0:00,"Las Vegas, Nevada, USA", USA,Alexander Volkanovski,Featherweight,MALE,28,31,U-DEC
41,Amanda Nunes VS Germaine de Randamie,Amanda Nunes,Germaine de Randamie,-460,365,12/14/2019 0:00,"Las Vegas, Nevada, USA", USA,Amanda Nunes,Women's Bantamweight,FEMALE,31,35,U-DEC
42,Henry Cejudo VS Marlon Moraes,Henry Cejudo,Marlon Moraes,145,-165,6/8/2019 0:00,"Chicago, Illinois, USA", USA,Henry Cejudo,Bantamweight,MALE,32,31,KO/TKO
43,Valentina Shevchenko VS Jessica Eye,Valentina Shevchenko,Jessica Eye,-1100,700,6/8/2019 0:00,"Chicago, Illinois, USA", USA,Valentina Shevchenko,Women's Flyweight,FEMALE,31,32,KO/TKO
44,Rose Namajunas VS Jessica Andrade,Rose Namajunas,Jessica Andrade,120,-140,5/11/2019 0:00,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Jessica Andrade,Women's Strawweight,FEMALE,26,27,KO/TKO
45,Max Holloway VS Dustin Poirier,Max Holloway,Dustin Poirier,-220,180,4/13/2019 0:00,"Atlanta, Georgia, USA", USA,Dustin Poirier,Lightweight,MALE,27,30,U-DEC
46,Kelvin Gastelum VS Israel Adesanya,Kelvin Gastelum,Israel Adesanya,150,-170,4/13/2019 0:00,"Atlanta, Georgia, USA", USA,Israel Adesanya,Middleweight,MALE,27,29,U-DEC
47,Jon Jones VS Anthony Smith,Jon Jones,Anthony Smith,-800,550,3/2/2019 0:00,"Las Vegas, Nevada, USA", USA,Jon Jones,Light Heavyweight,MALE,31,30,U-DEC
48,Tyron Woodley VS Kamaru Usman,Tyron Woodley,Kamaru Usman,-190,165,3/2/2019 0:00,"Las Vegas, Nevada, USA", USA,Kamaru Usman,Welterweight,MALE,36,31,U-DEC
49,Henry Cejudo VS TJ Dillashaw,Henry Cejudo,TJ Dillashaw,185,-225,1/19/2019 0:00,"Brooklyn, New York, USA", USA,Henry Cejudo,Flyweight,MALE,31,32,KO/TKO
50,Jon Jones VS Alexander Gustafsson,Jon Jones,Alexander Gustafsson,-290,245,12/29/2018 0:00,"Los Angeles, California, USA", USA,Jon Jones,Light Heavyweight,MALE,31,31,KO/TKO
51,Cris Cyborg VS Amanda Nunes,Cris Cyborg,Amanda Nunes,-210,175,12/29/2018 0:00,"Los Angeles, California, USA", USA,Amanda Nunes,Women's Featherweight,FEMALE,33,30,
52,Max Holloway VS Brian Ortega,Max Holloway,Brian Ortega,-110,-110,12/8/2018 0:00,"Toronto, Ontario, Canada", Canada,Max Holloway,Featherweight,MALE,27,27,KO/TKO
53,Valentina Shevchenko VS Joanna Jedrzejczyk,Valentina Shevchenko,Joanna Jedrzejczyk,-300,250,12/8/2018 0:00,"Toronto, Ontario, Canada", Canada,Valentina Shevchenko,Women's Flyweight,FEMALE,30,31,U-DEC
